id,nombre,provincia,municipio,departamento_id
1001,SUCRE,OROPEZA,CAPITAL (SUCRE),1
1002,YOTALA,OROPEZA,YOTALA,1
1003,POROMA,OROPEZA,POROMA,1
1004,AZURDUY,AZURDUY,VILLA AZURDUY,1
1005,TARVITA,AZURDUY,TARVITA (VILLA ORIAS),1
1006,ZUDAÑEZ,ZUDAÑEZ,VILLA ZUDANEZ (TACOPAYA),1
1007,PRESTO,ZUDAÑEZ,PRESTO,1
1008,MOJOCOYA,ZUDAÑEZ,VILLA MOJOCOYA,1
1009,ICLA,AZURDUY,TARVITA (VILLA ORIAS),1
1010,PADILLA,TOMINA,PADILLA,1
1011,TOMINA,TOMINA,TOMINA,1
1012,SOPACHUY,TOMINA,SOPACHUY,1
1013,VILLA ALCALA,TOMINA,VILLA ALCALA,1
1014,EL VILLAR,TOMINA,EL VILLAR,1
1015,MONTEAGUDO,HERNANDO SILES,MONTEAGUDO,1
1016,HUACARETA (C. SAN PABLO DE HUACARETA),HERNANDO SILES,SAN PABLO DE HUACARETA,1
1017,TARABUCO,YAMPARAEZ,TARABUCO,1
1018,YAMPARAEZ,YAMPARAEZ,YAMPARAEZ,1
1019,CAMARGO,NOR CINTI,CAMARGO,1
1020,SAN LUCAS,NOR CINTI,SAN LUCAS,1
1021,INCAHUASI,NOR CINTI,INCAHUASI,1
1022,VILLA SERRANO,BELISARIO BOETO,VILLA SERRANO,1
1024,CULPINA,SUD CINTI,CULPINA,1
1026,VILLA VACA GUZMAN (C.MUYUPAMPA),LUIS CALVO,VILLA VACA GUZMAN (MUYUPAMPA),1
1027,HUACAYA (C. VILLA DE HUACAYA),LUIS CALVO,VILLA DE HUACAYA,1
1028,MACHARETI,LUIS CALVO,MACHARETI,1
1029,VILLA ABECIA - LAS CARRERAS,SUD CINTI,LAS CARRERAS,1
1030,VILLA CHARCAS,NOR CINTI,VILLA CHARCAS,1
2002,PALCA,MURILLO,PALCA,2
2003,MECAPACA,MURILLO,MECAPACA,2
2004,ACHOCALLA,MURILLO,ACHOCALLA,2
2006,ACHACACHI,OMASUYOS,SANTIAGO DE HUATA,2
2007,ANCORAIMES,OMASUYOS,ANCORAIMES,2
2008,CORO CORO/ WALDO BALLIVIAN (A. TUMARAPI),PACAJES,WALDO BALLIVIAN,2
2009,CAQUIAVIRI/NAZACARA DE PACAJES,PACAJES,CAQUIAVIRI,2
2010,CALACOTO,PACAJES,CALACOTO,2
2011,COMANCHE,PACAJES,COMANCHE,2
2012,CHARAÑA,GENERAL JOSE MANUEL PANDO,SANTIAGO DE MACHACA,2
2013,SANTIAGO DE CALLAPA (C. CALLAPA),PACAJES,SANTIAGO DE CALLAPA,2
2014,PUERTO ACOSTA,CAMACHO,HUMANATA,2
2015,MOCOMOCO,CAMACHO,MOCOMOCO,2
2016,PUERTO CARABUCO,CAMACHO,CARABUCO,2
2017,CHUMA,MUÑECAS,CHUMA,2
2018,AYATA,MUÑECAS,AYATA,2
2019,AUCAPATA,LARECAJA,TACACOMA,2
2020,SORATA,LARECAJA,SORATA,2
2021,GUANAY,LARECAJA,GUANAY,2
2022,TACACOMA/ QUIABAYA,LARECAJA,TACACOMA,2
2023,COMBAYA,LARECAJA,COMBAYA,2
2024,TIPUANI,LARECAJA,TIPUANI,2
2025,APOLO,FRANZ TAMAYO,APOLO,2
2026,PELECHUCO,FRANZ TAMAYO,PELECHUCO,2
2027,VIACHA,INGAVI,VIACHA,2
2028,GUAQUI,INGAVI,GUAQUI,2
2029,TIAWANACU,INGAVI,TARACO,2
2030,DESAGUADERO,INGAVI,DESAGUADERO,2
2031,LURIBAY,LOAYZA,LURIBAY,2
2032,SAPAHAQUI,LOAYZA,SAPAHAQUI,2
2033,YACO/ MALLA,LOAYZA,MALLA,2
2034,CAIROMA,LOAYZA,CAIROMA,2
2035,INQUISIVI,INQUISIVI,INQUISIVI,2
2036,QUIME,INQUISIVI,QUIME,2
2037,CAJUATA/ LICOMA PAMPA (C.VILLA LIBERTAD LICOMA),INQUISIVI,CAJUATA,2
2038,COLQUIRI,INQUISIVI,COLQUIRI,2
2039,ICHOCA,INQUISIVI,ICHOCA,2
2040,CHULUMANI (C. VILLA DE LA LIBERTAD),SUD YUNGAS,CHULUMANI (VILLA DE LA LIBERTAD),2
2041,IRUPANA (C. VILLA DE LANZA),SUD YUNGAS,IRUPANA (VILLA DE LANZA),2
2042,YANACACHI,SUD YUNGAS,YANACACHI,2
2043,PALOS BLANCOS,SUD YUNGAS,PALOS BLANCOS,2
2044,LA ASUNTA,SUD YUNGAS,LA ASUNTA,2
2045,PUCARANI,LOS ANDES,PUERTO PEREZ,2
2046,LAJA,LOS ANDES,LAJA,2
2047,BATALLAS,LOS ANDES,PUCARANI,2
2048,PUERTO PEREZ,LOS ANDES,PUERTO PEREZ,2
2049,SICA SICA (C. VILLA  AROMA),AROMA,SICA SICA (VILLA AROMA),2
2050,UMALA,AROMA,UMALA,2
2051,AYO AYO,AROMA,AYO AYO,2
2052,CALAMARCA,AROMA,CALAMARCA,2
2053,PATACAMAYA,AROMA,PATACAMAYA,2
2054,COLQUENCHA/ COLLANA,AROMA,COLLANA,2
2055,COROICO,NOR YUNGAS,COROICO,2
2056,CORIPATA,NOR YUNGAS,CORIPATA,2
2057,IXIAMAS,ABEL ITURRALDE,IXIAMAS,2
2058,SAN BUENAVENTURA,ABEL ITURRALDE,SAN BUENAVENTURA,2
2059,GRAL. JUAN J. PEREZ (CHARAZANI) / CURVA,BAUTISTA SAAVEDRA,CURVA,2
2060,COPACABANA,MANCO KAPAC,COPACABANA,2
2061,SAN PEDRO DE TIQUINA/TITO YUPANQUI (PARQUIPUJIO),MANCO KAPAC,SAN PEDRO DE TIQUINA,2
2062,SAN PEDRO DE CURAHUARA/ CHACARILLA,GUALBERTO VILLARROEL,SAN PEDRO DE CURAHUARA,2
2063,PAPEL PAMPA,GUALBERTO VILLARROEL,PAPEL PAMPA,2
2064,SANTIAGO DE MACHACACATACORA,GENERAL JOSE MANUEL PANDO,CATACORA,2
2065,CARANAVI,CARANAVI,CARANAVI,2
2081,LA PAZ 1,MURILLO,CAPITAL (LA PAZ),2
2082,LA PAZ 2,MURILLO,CAPITAL (LA PAZ),2
2083,LA PAZ 3,MURILLO,CAPITAL (LA PAZ),2
2084,EL ALTO 1,MURILLO,EL ALTO,2
2085,EL ALTO 2,MURILLO,EL ALTO,2
2086,JESUS DE MACHACA,INGAVI,JESUS DE MACHACA,2
2087,MAPIRI,LARECAJA,MAPIRI,2
2088,TEOPONTE,LARECAJA,TEOPONTE,2
2089,SAN ANDRES DE MACHACA,INGAVI,SAN ANDRES DE MACHACA,2
2090,EL ALTO 3,MURILLO,EL ALTO,2
2091,,OMASUYOS,HUARINA,2
3002,AIQUILE,CAMPERO,AIQUILE,3
3003,PASORAPA,CAMPERO,PASORAPA,3
3004,OMEREQUE,CAMPERO,OMEREQUE,3
3005,AYOPAYA (C. VILLA DE INDEPENDENCIA),AYOPAYA,INDEPENDENCIA,3
3006,MOROCHATA,AYOPAYA,COCAPATA,3
3007,TARATA,ESTEBAN ARZE,TARATA,3
3008,ANZALDO (C. VILLA DE ANZALDO),ESTEBAN ARZE,ANZALDO,3
3009,ARBIETO,ESTEBAN ARZE,ARBIETO,3
3010,SACABAMBA,ESTEBAN ARZE,SACABAMBA,3
3011,ARANI,ARANI,ARANI,3
3012,VACAS,ARANI,VACAS,3
3013,ARQUE (C. VILLA DE ARQUE),ARQUE,ARQUE,3
3014,TACOPAYA,ARQUE,TACOPAYA,3
3015,CAPINOTA/ SICAYA,CAPINOTA,CAPINOTA,3
3016,SANTIVAÑEZ (C. VILLA SANTIVAÑEZ),CAPINOTA,SANTIVANEZ,3
3017,CLIZA,GERMAN JORDAN,CLIZA,3
3018,TOKO,GERMAN JORDAN,TOCO,3
3019,TOLATA,GERMAN JORDAN,TOLATA,3
3020,QUILLACOLLO,QUILLACOLLO,QUILLACOLLO,3
3021,SIPE SIPE,QUILLACOLLO,SIPESIPE,3
3022,TIQUIPAYA,QUILLACOLLO,TIQUIPAYA,3
3023,VINTO,QUILLACOLLO,VINTO,3
3024,COLCAPIRHUA,QUILLACOLLO,COLCAPIRHUA,3
3025,SACABA,QUILLACOLLO,TIQUIPAYA,3
3026,COLOMI,CHAPARE,COLOMI,3
3027,VILLA TUNARI,CHAPARE,VILLA TUNARI,3
3028,TAPACARI,TAPACARÍ,TAPACARI,3
3029,TOTORA,CARRASCO,TOTORA,3
3030,POJO,CARRASCO,POJO,3
3031,POCONA,CARRASCO,POCONA,3
3032,CHIMORE,CARRASCO,CHIMORE,3
3033,PUERTO VILLARROEL,CARRASCO,PUERTO VILLARROEL,3
3034,MIZQUE,MIZQUE,MIZQUE,3
