id,nombre,distrito_id,area,nivel,latitud,longitud
70420002,OJEDA,1020,Rural,3,-20.2898998260498,-64.6461029052734
10710001,CANUTA,2013,Rural,3,-17.4215248440258,-68.4782595634464
70690001,HUANCANIPAMPA,2018,Rural,7,-15.455379354152,-68.849251389504
70630001,5 DE MAYO,2041,Rural,4,-16.4729995727539,-67.4546813964844
40630006,AGUA CLARA,2044,Rural,3,-15.9455003738403,-67.2188186645508
80540008,DANIEL SANCHEZ BUSTAMANTE,2065,Rural,7,-16.0333831121818,-67.631771552166
50950005,15 DE AGOSTO,3008,Rural,2,-17.8596000671387,-65.8428955078125
71410001,EDUARDO ABAROA,5022,Urbano,2,-20.937400817871,-66.220581054688
81980295,DIVINO NIÑO JESUS II,7062,Urbano,4,-17.817300796509,-63.187816619873
10680001,NUEVA ESTRELLA IRPA GRANDE,2088,Rural,3,-15.510100364685,-67.691703796387
10680002,SARTAWI,2088,Rural,3,-15.359299659729,-67.6421356201172
10680003,ESMERALDA DE SAN FRANCISCO,2088,Rural,3,-15.3648919309397,-67.642997741699
31880008,SUEGAY,7069,Rural,2,-17.353526216136,-62.450258731842
40650022,TACOPAMPA,2034,Rural,3,-16.844900131226,-67.584243774414
40730139,CALAMA MAÑANA,2085,Urbano,3,-16.531299591064,-68.192756652832
40730534,25 DE JULIO SENKATA B,2090,Urbano,4,-16.5818173816978,-68.183101654053
41980077,6 DE AGOSTO,7005,Rural,3,-18.0846996307373,-63.2688865661621
50630056,JUAN PABLO II,2043,Rural,4,-15.6415996551514,-67.1627731323242
80640087,ESCOLA,2035,Rural,3,-16.8790513488814,-67.0151379108426
50870033,NUEVA VIDA,3027,Rural,7,-16.7632045790006,-65.1459029193726
50900018,LA LLAVE,3023,Rural,7,-17.3441009521484,-66.3851165771484
60700010,REPUBLICA BOLIVARIANA DE VENEZUELA,2016,Rural,7,-15.7819004058838,-69.0357284545898
60890101,1RO. DE MAYO A,3027,Rural,7,-16.648099899292,-65.4292907714844
61460032,CKOCHA,5010,Rural,3,-19.0214004516602,-65.6095733642578
61460033,SABILICO,5010,Rural,2,-19.1091003417969,-65.5350112915039
61880160,AREA CUATRO,7039,Rural,2,-16.6903968044375,-62.5379535432663
61920028,10 DE MARZO,7020,Rural,3,-18.2254009246826,-63.1842041015625
61960014,ZOILO FLORES SAUCEDO,7009,Urbano,2,-16.791070603931,-60.674255490303
70670010,LITORAL DE AGUA BLANCA,2026,Rural,7,-14.8214998245239,-69.109375
70870047,ISMAEL MONTES,3030,Rural,2,-17.8444004058838,-64.8007659912109
70870096,24 DE FEBRERO,3030,Rural,2,-17.7273006439209,-65.0165405273438
70960064,MACHACAMARCA,3006,Rural,2,-16.9196698292873,-66.7464537620542
70960075,TUNARI,3006,Rural,3,-16.9326992034912,-66.7394256591797
71230048,AYACUCHO,4002,Rural,3,-17.8879223717448,-67.3282000422479
71440061,ARAFANI,5016,Rural,3,-18.246799468994,-65.785255432129
71440062,MACHA CRUZ K'ASA,5016,Rural,3,-18.351499557495,-65.595268249512
71480007,CANDELARIA,5001,Rural,7,-19.382900238037,-65.665893554688
71710005,SANTA ROSA DE AGUA BLANCA,6005,Rural,7,-21.8113984513638,-63.8791268467905
71850007,RESGUARDO,7044,Urbano,7,-19.022499084473,-57.705265045166
80670047,VAQUERIA,2025,Rural,2,-14.653900146484,-68.504997253418
71890017,RVDO. SANTIAGO COURNEEN,7035,Rural,7,-17.074100494385,-63.077407836914
71920021,MANUEL JESUS AÑEZ CESPEDES,7019,Rural,3,-19.6485364738492,-63.1243743300434
71930062,LAS AMERICAS EL MOCHO,7017,Rural,3,-16.968599319458,-63.654624938965
