id;area_conocimiento_id;padre_id;titulo;orden;trimestre
1101010000;1101;;Afectividad Y Manifestaciones En Las Interrelaciones Familiares Y Escolares;1;1er TRIM
1101020000;1101;;Cosmovisiones Y Manifestaciones Practicadas En La Familia Y Comunidad;2;2do TRIM
1101030000;1101;;Valores En La Comunidad Practicadas En La Interacción Social Y La Naturaleza;3;3er TRIM
1102010000;1102;;Expresión De Ideas, Emociones, Pensamientos, Sentimientos;1;1er TRIM
1102020000;1102;;Bienestar Personal, Familiar Como Forma De Complementariedad;2;1er TRIM
1102030000;1102;;Sonidos Y Expresiones Corporales Con Diferentes Ritmos;3;1er TRIM
1102040000;1102;;Diversidad De Colores En El Entorno Familiar Y Social;4;1er TRIM
1102050000;1102;;Reconocimiento De Espacio Y Coordinación Psicomotriz;5;1er TRIM
1102060000;1102;;Comunicación De Mensajes Expresados En Narraciones;6;2do TRIM
1102070000;1102;;Personajes Protagonistas De Nuestra Historia Local Y Nacional;7;2do TRIM
1102080000;1102;;Ritmos Musicales Como Expresión Artística Local Y Nacional;8;2do TRIM
1102090000;1102;;Expresiones Plásticas Y Visuales Como Parte De La Identidad;9;2do TRIM
1102100000;1102;;Expresión Corporal Mediante Juegos;10;2do TRIM
1102110000;1102;;Lenguaje Oral Y Escrito No Convencional;11;3er TRIM
1102120000;1102;;Normas Y Signos De Seguridad En La Familia, Escuela Y Comunidad;12;3er TRIM
1102130000;1102;;Vocalización En El Canto, Expresión De Danzas;13;3er TRIM
1102140000;1102;;Manifestaciones Culturales Y Artísticas En La Familia;14;3er TRIM
1102150000;1102;;Expresión Corporal, Desarrollo Motriz Y Auditivo;15;3er TRIM
1103010000;1103;;Cuerpo Humano, Cuidado E Higiene Personal;1;1er TRIM
1103020000;1103;;Alimentación Saludable, Nutritiva Y Culturalmente Apropiada;2;1er TRIM
1103030000;1103;;Higiene Y Orden En La Vivienda, Escuela Y Comunidad;3;2do TRIM
1103040000;1103;;Elementos De La Naturaleza Y Fenómenos Naturales;4;2do TRIM
1103050000;1103;;Características, Cuidado Y Protección De Los Animales Y Plantas;5;3er TRIM
1103060000;1103;;Cuidado Y Protección De La Tierra En Actividades Diarias;6;3er TRIM
1104010000;1104;;Estimación Y Comparación De Medidas De Longitud Y Peso;1;1er TRIM
1104020000;1104;;Herramientas Y Materiales De Trabajo;2;1er TRIM
1104030000;1104;;Nociones De Objeto, Espacio Y Formas Geométricas;3;2do TRIM
1104040000;1104;;Productos Naturales, Tecnológicos Y Herramientas;4;2do TRIM
1104050000;1104;;Noción De Cantidad, Temporalidad, Clasificación Y Seriación;5;3er TRIM
1104060000;1104;;La Tecnología En La Cotidianidad En La Comunidad;6;3er TRIM
1201010000;1201;;Valores Y Normas En Las Interrelaciones En Las Familias;1;1er TRIM
1201020000;1201;;Cosmovisiones Y Manifestaciones Practicadas En La Familia;2;2do TRIM
1201030000;1201;;Valores En La Comunidad Practicadas En La Interacción Social;3;3er TRIM
1202010000;1202;;Manifestaciones Del Lenguaje En La Familia Y Escuela;1;1er TRIM
1202020000;1202;;Familia Y Comunidad Como Forma De Complementariedad;2;1er TRIM
1202030000;1202;;Sonidos Y Movimientos De Cuerpo Propias De Las Culturas;3;1er TRIM
1202040000;1202;;Colores De La Naturaleza Aplicados En Actividades;4;1er TRIM
1202050000;1202;;Expresión Corporal Rítmica Mediante Juegos;5;1er TRIM
1202060000;1202;;Lenguaje Oral Y Aproximación Al Lenguaje Escrito;6;2do TRIM
1202070000;1202;;Realidad Histórica Y Social De Vivencias Locales;7;2do TRIM
1202080000;1202;;Ritmos Musicales Como Expresión De La Cultura Nacional;8;2do TRIM
1202090000;1202;;Expresiones Plásticas Y Visuales Como Parte De La Identidad;9;2do TRIM
1202100000;1202;;Movimientos, Coordinación Y Ritmos En El Juego;10;2do TRIM
1202110000;1202;;Lenguaje Escrito Y Su Uso En Situaciones Cotidianas;11;3er TRIM
1202120000;1202;;Normas Viales Y Señales De Seguridad En La Comunidad;12;3er TRIM
1202130000;1202;;Canto E Instrumentos Musicales Como Expresión Cultural;13;3er TRIM
1202140000;1202;;Expresiones Culturales Y Artísticas En La Comunidad;14;3er TRIM
