id_practica;nombre_practica;proposito;tipo;apto_para;descripcion_concreta;redactado;preguntas;ejemplo_inicial;ejemplo_primaria;ejemplo_secundaria;ejemplo_multigrado
1;Caja misteriosa;Activacion;Sensorial;Grupo tímido o reservado, Grupo multigrado;Los estudiantes palpan un objeto oculto en una caja y describen lo que sienten para adivinarlo.;Los estudiantes palpan un objeto oculto en una caja y describen lo que sienten para adivinarlo.;¿Qué observan? ¿Qué les hace decir eso? ¿Qué más podríamos preguntarnos?;"Tema: Los animales de la granja. 

Descripción: Escondemos una figura de un patito de goma. ""A ver, Valentina, mete la mano. ¿Es suave o duro? ¿Tiene patitas?""";"Tema: Adaptaciones (Biología). 

Descripción: Introducimos una piña. ""Manuel, mete la mano con cuidado. ¿Qué textura sientes? ¿Es áspero o liso? ¿Tiene picos? ¿Podría ser algo que protege a una planta?""";"Tema: Materiales conductores (Física). 

Descripción: Dentro de la caja, un cubo de metal y uno de madera. ""Sin mirar, toquen ambos. ¿Cuál se siente más frío? ¿Por qué creen que el metal siempre se siente más frío que la madera a temperatura ambiente?""";"Tema: Oficios y herramientas. 

Descripción: El mayor palpa una herramienta (ej. martillo de juguete) y la describe: ""Tiene un mango y una parte pesada de metal"". Los pequeños escuchan y observan. Luego, los pequeños encuentran la imagen de esa herramienta en un libro."
2;Sonido sorpresa;Activacion;Sensorial;Grupo numeroso (sonido amplificado);Reproducimos un sonido breve para que los estudiantes identifiquen su origen o el ambiente que sugiere.;Reproducimos un sonido breve para que los estudiantes identifiquen su origen o el ambiente que sugiere.;¿Qué escucharon? ¿Qué les hace decir eso? ¿Cómo lo saben? ¿Hay otra posibilidad?;"Tema: Medios de transporte. 

Descripción: (Sonido de sirena de ambulancia). ""¿Qué es ese ruido tan fuerte? ¿Es un perro? ¿Es un carro? ¿A qué se parece?""";"Tema: La ciudad y el campo (Ciencias Sociales). 

Descripción: (Sonido de un gallo cantando). ""¿Qué escuchamos? ¿En qué lugar de nuestro país creen que es más común escuchar esto al amanecer, en la ciudad o en el campo? ¿Por qué?""";"Tema: Historia - Revolución Industrial. 

Descripción: (Sonido de un telar mecánico y un silbato de fábrica). ""¿Qué escuchan primero? ¿A qué ambiente les transporta ese sonido? ¿En qué época creen que era común escuchar esto en las ciudades? ¿Qué sensación les produce?""";"Tema: Ecosistemas. 

Descripción: (Sonido de la selva: pájaros, monos, insectos). Los pequeños imitan a los animales que ""escuchan"". Los grandes listan los elementos del ecosistema y proponen una cadena alimenticia simple."
3;Degustación a ciegas;Activacion;Sensorial;Grupo tímido o reservado, Grupo multigrado;Con los ojos vendados, prueban un alimento y describen sabores, texturas y posibles identidades.;Con los ojos vendados, prueban un alimento y describen sabores, texturas y posibles identidades.;¿Qué sabor predomina? ¿Dulce, salado, ácido? ¿Qué textura tiene? ¿Qué podría ser?;"Tema: Los sentidos - El gusto. 

Descripción: ""Hoy vamos a ser catadores. Cierren los ojos y abran la boca. (Ofrecer un trocito de manzana). ¿Qué están comiendo? ¿Es dulce o ácido? ¿Es suave o crujiente?""";"Tema: Alimentos saludables (Ciencias). 

Descripción: ""Con los ojos vendados, probarán diferentes alimentos. Deben clasificarlos en dos grupos: 'naturales' y 'procesados', explicando qué característica del sabor o textura los lleva a esa conclusión.""";"Tema: Química de los alimentos. 

Descripción: ""Vendaremos sus ojos y probarán tres soluciones: agua con azúcar, agua con sal y agua con limón. A partir de la experiencia sensorial, deben inferir qué compuestos químicos (sacarosa, cloruro de sodio, ácido cítrico) están presentes.""";"Tema: Frutas y verduras. 

Descripción: Los pequeños prueban y dicen si es dulce o ácido. Los grandes, además, describen la textura y posibles usos culinarios de ese alimento."
4;Objeto misterioso;Activacion;Sensorial;Grupo tímido o reservado, Grupo multigrado;Mostramos un objeto real relacionado con el tema sin decir qué es ni para qué sirve.;Mostramos un objeto real relacionado con el tema sin decir qué es ni para qué sirve.;¿Qué será? ¿Para qué creen que se usa? ¿Quién lo habrá usado?;"Tema: El teléfono. 

Descripción: (Mostrar un teléfono antiguo de disco). ""¿Alguien sabe qué es esto? ¿Cómo creen que funcionaba? ¿Para qué servía ese disco?""";"Tema: La electricidad. 

Descripción: (Mostrar un foco incandescente viejo). ""¿Qué es? ¿Cómo creen que funciona? ¿Por qué ya no se usan tanto estos?""";"Tema: Historia - Comunicación. 

Descripción: (Mostrar un telégrafo o imagen de uno). ""Observen este objeto. ¿Qué principio físico creen que utilizaba para comunicarse? ¿Cómo impactó en la sociedad de su época?""";"Tema: Objetos antiguos y modernos. 

Descripción: (Mostrar un teléfono de disco). Los pequeños dicen lo que ven (un teléfono raro). Los grandes investigan mentalmente cómo funcionaba."
5;Memes educativos;Activacion;Sensorial;Grupo numeroso;Presentamos un meme relacionado con el tema para generar humor y reflexión.;Presentamos un meme relacionado con el tema para generar humor y reflexión.;¿Por qué da risa? ¿Qué concepto está detrás del chiste?;"Tema: Rutinas diarias. 

Descripción: (Meme de un gato durmiendo con texto: ""Yo los lunes""). ""¿Por qué da risa? ¿Cómo se sienten ustedes los lunes?""";"Tema: Sistema solar. 

Descripción: (Meme de Plutón llorando con texto: ""Me sacaron del sistema solar""). ""¿Qué le pasó a Plutón? ¿Por qué ya no es considerado planeta?""";"Tema: Biología evolutiva. 

Descripción: (Meme de una persona evolucionando de mono a humano y luego encorvado por el celular). ""¿Qué crítica hace este meme sobre nuestra evolución actual? ¿Qué concepto biológico utiliza?""";"Tema: Memes simples. 

Descripción: (Meme de un niño con cara de asombro). Los pequeños imitan la cara. Los grandes explican qué significa la expresión."
6;Canción;Activacion;Sensorial;Grupo numeroso (sonido amplificado);Reproducimos una canción (completa o fragmento) relacionada con el tema.;Reproducimos una canción (completa o fragmento) relacionada con el tema.;¿De qué habla la canción? ¿Qué les hace sentir? ¿Qué palabras nuevas escucharon?;"Tema: Los animales. 

Descripción: (Canción ""La vaca Lola""). ""¿De qué animal habla? ¿Qué hace la vaca Lola?""";"Tema: Partes del cuerpo. 

Descripción: (Canción ""Cabeza, hombros, rodillas y pies""). ""Vamos a cantar y a tocarnos las partes que dice la canción. ¡A ver quién sigue el ritmo!""";"Tema: Historia - Épocas históricas. 

Descripción: (Fragmento de una canción de protesta de los años 70). ""Escuchen la letra. ¿Qué problemas sociales denuncia? ¿En qué contexto histórico creen que se escribió?""";"Tema: Canciones y sonidos. 

Descripción: (Canción infantil). Los pequeños cantan y bailan. Los grandes identifican las palabras clave y las escriben."
7;Poema o rima;Activacion;Sensorial;Grupo numeroso (sonido amplificado);Recitamos un poema corto o una rima que introduzca el tema.;Recitamos un poema corto o una rima que introduzca el tema.;¿Qué imágenes les vino a la mente? ¿Qué palabras les gustaron más?;"Tema: La luna. 

Descripción: (Recitar ""La luna"" de Federico García Lorca, versión adaptada). ""La luna vino a la fragua con su polisón de nardos..."" ¿Cómo se imaginan la luna?""";"Tema: La primavera. 

Descripción: (Poema corto sobre la primavera). ""Cierren los ojos mientras les leo. ¿Qué olores, colores y sonidos imaginan?""";"Tema: Literatura - Vanguardias. 

Descripción: (Leer un poema de Vicente Huidobro, creador del creacionismo). ""Escuchen atentamente. ¿Qué imágenes poéticas les sorprenden? ¿Cómo juega el autor con el lenguaje?""";"Tema: Poemas cortos. 

Descripción: Recitan una rima. Los pequeños repiten las palabras que riman. Los grandes crean una rima similar."
8;Identificación de aromas;Activacion;Sensorial;Grupo tímido o reservado, Grupo multigrado;Ofrecemos recipientes con diferentes olores (especias, frutas, elementos de la naturaleza) para identificar.;Ofrecemos recipientes con diferentes olores (especias, frutas, elementos de la naturaleza) para identificar.;¿A qué les huele? ¿Qué recuerdo les trae ese olor? ¿Qué palabra lo describe mejor?;"Tema: El cuerpo - Los sentidos. 

Descripción: (Frasco con algodón perfumado con esencia de vainilla). ""A ver, acérquense. ¿A qué huele? ¿Les gusta? ¿A qué les recuerda? ¿A galletas?""";"Tema: Historia - La ruta de las especias. 

Descripción: ""Huelan estas muestras (canela, clavo, pimienta). ¿Por qué creen que estos aromas fueron tan valiosos hace siglos? ¿Qué imaginan que pensaba un europeo al oler esto por primera vez?""";"Tema: Química orgánica. 

Descripción: ""Identifiquen estas cuatro muestras (vainilla, menta, limón, vinagre). Una vez identificadas, investiguemos rápidamente qué compuesto químico (vainillina, mentol, limoneno, ácido acético) es el responsable de ese aroma característico.""";"Tema: Plantas aromáticas. 

Descripción: Los pequeños huelen e identifican (menta, hierbabuena, eucalipto). Los grandes explican para qué se usa cada una en medicina casera o cocina."
9;Recorrido táctil;Activacion;Sensorial;Grupo tímido o reservado, Grupo multigrado;Colocamos diferentes texturas en un recorrido que los estudiantes tocan con los pies o las manos.;Colocamos diferentes texturas en un recorrido que los estudiantes tocan con los pies o las manos.;¿Cómo cambia la sensación al tocar esto? ¿Qué material imita esta textura?;"Tema: Texturas y materiales. 

Descripción: ""Vamos a hacer un camino descalzos. Pasen por aquí (alfombra), luego por acá (tapete con piedras), y luego por este otro lado (plástico con burbujas). ¿Qué sintieron en cada parte?""";"Tema: Los ecosistemas. 

Descripción: ""Este es el 'camino de los hábitats'. Aquí tocarán arena (desierto), luego musgo húmedo (bosque), luego piedras frías (río). Relacionen cada textura con un ecosistema.""";"Tema: Geología. 

Descripción: ""Con los ojos cerrados, palparán diferentes muestras de rocas. Deben clasificarlas por su textura (granular, lisa, áspera) e intentar identificar cuáles podrían ser ígneas, sedimentarias o metamórficas.""";"Tema: Sentidos y clasificación. 

Descripción: Los pequeños describen la sensación (suave, áspero, frío). Los grandes asocian cada textura con un material o ecosistema específico y lo escriben."
10;Observación de imagen borrosa;Activacion;Sensorial;Grupo numeroso;Mostramos una imagen desenfocada o fragmentada para que intenten descubrir qué es.;Mostramos una imagen desenfocada o fragmentada para que intenten descubrir qué es.;¿Qué podría ser? ¿Qué detalles ven que les hace pensar eso? ¿Qué falta para estar seguros?;"Tema: Los animales. 

Descripción: (Imagen borrosa de un elefante mostrando solo la trompa). ""¿Qué animal será esa cosa larga? ¿Es una serpiente? ¿Es la manguera del jardín? ¡Miren bien!""";"Tema: Instrumentos musicales. 

Descripción: (Imagen borrosa de un violín, mostrando solo el clavijero). ""¿Qué parte de un instrumento musical será esto? ¿Para qué sirven esas piezas? ¿A qué familia pertenece?""";"Tema: Arte - Vanguardias. 

Descripción: (Fragmento ampliado de ""Las Meninas"" de Velázquez, mostrando solo un detalle de un vestido). ""Observen esta textura pictórica. ¿Qué técnica creen que usó el artista? ¿Qué época podría ser? ¿Qué emoción transmite este fragmento?""";"Tema: Oficios y herramientas. 

Descripción: (Imagen borrosa de un martillo). Los pequeños dicen lo que ven (un palo, una cosa gris). Los grandes infieren el oficio y lo explican."
