id;gestion;trimestre;mes;semana;fecha_inicio_trimestre;fecha_fin_trimestre
1;2026;1;1;1;;
2;2026;1;1;2;;
3;2026;1;1;3;;
4;2026;1;1;4;;
5;2026;1;2;1;;
6;2026;1;2;2;;
7;2026;1;2;3;;
8;2026;1;2;4;;
9;2026;1;2;5;;
10;2026;1;3;1;;
11;2026;1;3;2;;
12;2026;1;3;3;;
13;2026;1;3;4;;
14;2026;1;3;5;;
15;2026;2;1;1;;
16;2026;2;1;2;;
17;2026;2;1;3;;
18;2026;2;1;4;;
19;2026;2;2;1;;
20;2026;2;2;2;;
21;2026;2;2;3;;
22;2026;2;2;4;;
23;2026;2;3;1;;
24;2026;2;3;2;;
25;2026;2;3;3;;
26;2026;2;3;4;;
27;2026;2;3;5;;
28;2026;3;1;1;;
29;2026;3;1;2;;
30;2026;3;1;3;;
31;2026;3;1;4;;
32;2026;3;1;5;;
33;2026;3;2;1;;
34;2026;3;2;2;;
35;2026;3;2;3;;
36;2026;3;2;4;;
37;2026;3;3;1;;
38;2026;3;3;2;;
39;2026;3;3;3;;
40;2026;3;3;4;;
41;2026;3;3;5;;
